odor,train,valid
acidic,27,7
alcoholic,65,17
aldehydic,93,23
alliaceous,81,20
almond,56,13
amber,63,16
animal,70,18
anisic,56,14
apple,195,49
apricot,46,11
aromatic,46,12
balsamic,190,48
banana,68,23
beefy,25,7
bergamot,20,5
berry,98,24
bitter,40,10
black currant,28,7
brandy,28,6
bready,23,6
brown,38,9
burnt,119,30
buttery,88,21
cabbage,29,7
camphoreous,82,20
caramellic,148,37
cedar,31,8
celery,27,7
chamomile,17,4
cheesy,117,30
chemical,25,6
cherry,53,13
chocolate,43,11
cinnamon,42,10
citrus,242,61
clean,61,16
clove,20,5
cocoa,73,18
coconut,54,14
coffee,66,17
cognac,71,18
cooked,54,14
cooling,49,12
cortex,36,9
coumarinic,35,9
creamy,123,31
cucumber,30,7
dairy,80,20
dry,107,26
earthy,205,50
estery,32,9
ethereal,184,46
fatty,373,102
fermented,92,23
fishy,49,13
floral,703,173
fresh,340,84
fruit skin,34,9
fruity,1204,314
fungal,13,3
fusel,17,5
garlic,76,20
gassy,22,5
geranium,38,9
grape,53,13
grapefruit,50,12
grassy,43,10
green,893,256
hawthorn,23,5
hay,48,11
hazelnut,34,8
herbal,484,120
honey,100,25
hyacinth,35,9
jammy,24,6
jasmin,64,16
juicy,34,9
ketonic,27,7
lactonic,41,11
lavender,27,7
leafy,84,21
leathery,30,8
lemon,52,13
licorice,22,6
lily,43,11
malty,23,6
marine,18,5
meaty,191,48
medicinal,46,11
melon,85,22
mentholic,14,4
metallic,85,21
milky,51,13
mint,142,36
mossy,12,3
muguet,37,9
mushroom,58,14
musk,61,16
musty,125,32
natural,55,13
nutty,232,57
odorless,44,11
oily,249,62
onion,112,28
orange,63,15
orangeflower,21,5
orris,37,9
ozone,24,6
peach,66,17
pear,82,21
phenolic,111,31
pine,50,12
pineapple,128,32
plum,37,9
popcorn,22,6
potato,35,9
powdery,105,26
pungent,126,32
radish,36,9
raspberry,30,7
ripe,54,13
roasted,192,45
rose,212,54
rummy,52,13
sandalwood,23,6
savory,81,21
sharp,64,16
smoky,45,11
soapy,28,7
solvent,35,9
sour,45,11
spicy,296,74
strawberry,28,7
sulfurous,256,63
sweaty,24,6
sweet,916,222
tea,33,8
terpenic,29,8
thujonic,11,2
tobacco,64,16
tomato,23,6
tonka,16,4
tropical,245,61
vanilla,69,18
vegetable,180,44
vetiver,25,7
violet,45,11
warm,61,14
waxy,311,77
weedy,27,7
winey,139,36
woody,431,106
