odor,train,valid
acidic,27,7
alcoholic,66,16
aldehydic,92,24
alliaceous,81,20
almond,55,14
amber,63,16
animal,70,18
anisic,56,14
apple,196,48
apricot,45,12
aromatic,46,12
balsamic,190,48
banana,74,17
beefy,25,7
bergamot,20,5
berry,96,26
bitter,40,10
black currant,28,7
brandy,27,7
bready,23,6
brown,37,10
burnt,119,30
buttery,88,21
cabbage,29,7
camphoreous,82,20
caramellic,148,37
cedar,31,8
celery,27,7
chamomile,17,4
cheesy,118,29
chemical,24,7
cherry,52,14
chocolate,43,11
cinnamon,42,10
citrus,243,60
clean,62,15
clove,20,5
cocoa,73,18
coconut,55,13
coffee,66,17
cognac,71,18
cooked,54,14
cooling,48,13
cortex,36,9
coumarinic,36,8
creamy,123,31
cucumber,29,8
dairy,80,20
dry,108,25
earthy,205,50
estery,33,8
ethereal,184,46
fatty,382,93
fermented,92,23
fishy,50,12
floral,695,181
fresh,341,83
fruit skin,34,9
fruity,1217,301
fungal,13,3
fusel,18,4
garlic,77,19
gassy,21,6
geranium,37,10
grape,53,13
grapefruit,49,13
grassy,42,11
green,916,233
hawthorn,22,6
hay,47,12
hazelnut,34,8
herbal,484,120
honey,100,25
hyacinth,35,9
jammy,24,6
jasmin,64,16
juicy,34,9
ketonic,27,7
lactonic,42,10
lavender,27,7
leafy,84,21
leathery,30,8
lemon,52,13
licorice,22,6
lily,43,11
malty,23,6
marine,19,4
meaty,190,49
medicinal,46,11
melon,85,22
mentholic,15,3
metallic,84,22
milky,51,13
mint,141,37
mossy,12,3
muguet,37,9
mushroom,57,15
musk,62,15
musty,125,32
natural,54,14
nutty,233,56
odorless,44,11
oily,249,62
onion,112,28
orange,62,16
orangeflower,21,5
orris,36,10
ozone,24,6
peach,66,17
pear,82,21
phenolic,114,28
pine,49,13
pineapple,128,32
plum,36,10
popcorn,23,5
potato,36,8
powdery,105,26
pungent,126,32
radish,36,9
raspberry,29,8
ripe,54,13
roasted,193,44
rose,213,53
rummy,52,13
sandalwood,24,5
savory,82,20
sharp,64,16
smoky,44,12
soapy,28,7
solvent,35,9
sour,45,11
spicy,296,74
strawberry,28,7
sulfurous,256,63
sweaty,24,6
sweet,915,223
tea,33,8
terpenic,29,8
thujonic,10,3
tobacco,64,16
tomato,23,6
tonka,16,4
tropical,245,61
vanilla,70,17
vegetable,180,44
vetiver,26,6
violet,45,11
warm,61,14
waxy,310,78
weedy,27,7
winey,140,35
woody,422,115
