odor,train,valid
acidic,27,7
alcoholic,66,16
aldehydic,93,23
alliaceous,81,20
almond,54,15
amber,63,16
animal,70,18
anisic,56,14
apple,195,49
apricot,46,11
aromatic,46,12
balsamic,191,47
banana,74,17
beefy,26,6
bergamot,20,5
berry,98,24
bitter,40,10
black currant,28,7
brandy,27,7
bready,23,6
brown,38,9
burnt,120,29
buttery,88,21
cabbage,29,7
camphoreous,81,21
caramellic,148,37
cedar,31,8
celery,27,7
chamomile,16,5
cheesy,117,30
chemical,25,6
cherry,53,13
chocolate,43,11
cinnamon,42,10
citrus,243,60
clean,61,16
clove,20,5
cocoa,71,20
coconut,55,13
coffee,67,16
cognac,72,17
cooked,55,13
cooling,49,12
cortex,36,9
coumarinic,35,9
creamy,123,31
cucumber,30,7
dairy,80,20
dry,101,32
earthy,205,50
estery,33,8
ethereal,184,46
fatty,383,92
fermented,92,23
fishy,49,13
floral,700,176
fresh,340,84
fruit skin,35,8
fruity,1217,301
fungal,13,3
fusel,18,4
garlic,78,18
gassy,22,5
geranium,37,10
grape,52,14
grapefruit,49,13
grassy,42,11
green,923,226
hawthorn,23,5
hay,47,12
hazelnut,34,8
herbal,484,120
honey,100,25
hyacinth,35,9
jammy,24,6
jasmin,64,16
juicy,35,8
ketonic,27,7
lactonic,42,10
lavender,27,7
leafy,84,21
leathery,30,8
lemon,52,13
licorice,23,5
lily,43,11
malty,24,5
marine,18,5
meaty,192,47
medicinal,45,12
melon,86,21
mentholic,15,3
metallic,85,21
milky,51,13
mint,143,35
mossy,12,3
muguet,36,10
mushroom,58,14
musk,61,16
musty,126,31
natural,54,14
nutty,232,57
odorless,44,11
oily,250,61
onion,112,28
orange,62,16
orangeflower,21,5
orris,37,9
ozone,24,6
peach,67,16
pear,83,20
phenolic,114,28
pine,49,13
pineapple,128,32
plum,37,9
popcorn,22,6
potato,35,9
powdery,104,27
pungent,127,31
radish,36,9
raspberry,29,8
ripe,54,13
roasted,178,59
rose,213,53
rummy,52,13
sandalwood,23,6
savory,82,20
sharp,64,16
smoky,45,11
soapy,28,7
solvent,36,8
sour,45,11
spicy,295,75
strawberry,28,7
sulfurous,256,63
sweaty,24,6
sweet,902,236
tea,33,8
terpenic,30,7
thujonic,10,3
tobacco,64,16
tomato,24,5
tonka,16,4
tropical,245,61
vanilla,69,18
vegetable,180,44
vetiver,25,7
violet,45,11
warm,61,14
waxy,309,79
weedy,28,6
winey,141,34
woody,432,105
